Gen	ID
4	C(C(C(C=O)=O)C(CCO)O)(O)=O
4	C(C(C(C=O)=O)C(C=O)O)(O)=O
4	C(C(C(C=O)=O)C(C)(CO)O)(O)=O
4	C(C(C(C=O)=O)C(C=CC)O)(O)=O
4	C(C(C(C=O)=O)C(CC=C)O)(O)=O
4	C(C(C(C=O)=O)C(CO)O)(O)=O
4	C(C(C(C=O)=O)C(C(C)O)O)(O)=O
4	C(C(C(C=O)=O)C(C(O)=O)O)(O)=O
4	C(C(C(O)=O)C(C=O)=O)(O)=O
4	C(C(C(CO)O)(C(C=O)O)O)(O)=O
4	C(C(C(CO)O)(CC=O)O)(O)=O
4	C(C(CO)C(CCO)O)=O
4	C(C(C(CO)C(CCO)O)=O)(O)=O
4	C(C(C(C(C)=O)=O)C(CCO)O)=O
4	C(CC(C(CC(CCO)O)=O)=O)=O
4	C(C(C(C)O)=O)(CC(CCO)O)=O
4	C(C(C(CC(CCO)O)=O)=O)(O)=O
4	C(CO)(C(C(CCO)O)O)=O
4	C(CO)(CC(CCO)O)=O
4	C(C)(C(C(CCO)O)O)=O
4	C(C(C(CC(CCO)O)=O)C)(O)=O
4	C(C(C=C)C(CCO)O)=O
4	C=CC(C(C(O)=O)=O)C(CCO)O
4	C(C(C(C(O)=O)=C)C(CCO)O)=O
4	C(C(C(CCO)O)O)=O
4	C1(C(C(C(C)O1)C(CCO)O)=O)=O
4	C1(C(C(C(O1)=O)=O)C(CCO)O)=O
4	C(C(C(CCO)O)C[CH]C(O)=O)=O
4	C(C(CCC(O)=O)C(CCO)O)=O
4	C(CC(CCO)O)=O
4	C(C(C(C)O)C(CCO)O)=O
4	C(C(C=O)C(CCO)O)(O)=O
4	C(C(C(C(CCO)O)O)=O)=O
4	C(C(CC(CCO)O)=O)=O
4	C(C(C(C(CCO)O)O)=O)(O)=O
