Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
C1C(C(C(C(CO)(O)O1)O)O)O,,,2,1,6,7,13
343_0,,,,2,1,1,2
345_0,,,,2,1,1,2
C(C1(CC(C(CO1)O)O)O)=O,,,2,1,6,9,15
346_0,,,,2,1,1,2
347_0,,,,2,1,1,2
348_0,,,,2,1,1,2
350_0,,,,2,1,1,2
C(C1C(C(CC(O1)O)O)O)=O,,,2,1,10,12,22
352_0,,,,2,1,1,2
C1(C(O)OC(CO)C(C1O)O)=O,,,2,1,7,8,15
354_0,,,,2,1,1,2
C(C1(C(C(C(CO1)O)O)O)O)=O,,,2,1,8,12,20
355_0,,,,2,1,1,2
356_0,,,,2,1,1,2
357_0,,,,2,1,1,2
358_0,,,,2,1,1,2
359_0,,,,2,1,1,2
360_0,,,,2,1,1,2
362_0,,,,2,1,1,2
C1(C(O)OCC(C(C1O)O)O)=O,,,2,1,9,10,19
363_0,,,,2,1,1,2
364_0,,,,2,1,1,2
365_0,,,,2,1,1,2
367_0,,,,2,1,2,3
C1(C(C(C(C(CO)O)O1)O)O)=O,,,2,1,9,5,14
369_0,,,,2,1,2,3
C1(C(CC(C(CO)O)O1)O)=O,,,2,1,8,4,12
371_0,,,,2,1,2,3
C1(C(C(C(C(CO)O1)O)O)O)=O,,,2,1,8,6,14
373_0,,,,2,1,2,3
C1(C(CC(C(CO)O1)O)O)=O,,,2,1,6,4,10
375_0,,,,2,1,2,3
C1(C(C(C(C(CO1)O)O)O)O)=O,,,2,1,9,9,18
377_0,,,,2,1,2,3
C1(C(CC(C(CO1)O)O)O)=O,,,2,1,7,7,14
378_0,,,,2,3,5,8
379_0,,,,2,3,5,8
381_0,,,,2,2,2,4
C(C(CCO)O)(O)=O,,,2,1,16,17,33
382_0,,,,2,2,2,4
383_0,,,,2,2,2,4
384_0,,,,2,2,2,4
385_0,,,,2,2,2,4
386_0,,,,2,3,5,8
388_0,,,,2,3,5,8
C(C(C(CO)O)=O)=O,,,2,1,55,62,117
389_0,,,,2,3,5,8
390_0,,,,2,3,5,8
391_0,,,,2,3,5,8
392_0,,,,2,3,5,8
393_0,,,,2,3,5,8
395_0,,,,2,5,3,8
C(C(CC(C(CO)O)O)O)=O,,,2,1,14,15,29
396_0,,,,2,5,3,8
397_0,,,,2,4,4,8
398_0,,,,2,4,4,8
399_0,,,,2,4,4,8
400_0,,,,2,4,4,8
401_0,,,,2,4,4,8
402_0,,,,2,4,4,8
403_0,,,,2,4,4,8
404_0,,,,2,4,4,8
406_0,,,,2,1,1,2
C1(C(C(C(C1)O)O)O)=O,,,3,1,8,32,40
406_1,,,,2,1,1,2
407_0,,,,2,1,1,2
409_0,,,,2,1,1,2
C1(C(C(C(CC1O)O)O)O)=O,,,3,1,5,14,19
409_1,,,,2,1,1,2
411_0,,,,2,1,1,2
C1(C(C(C(C1)O)(CO)O)O)=O,,,3,1,9,15,24
411_1,,,,2,1,1,2
413_0,,,,2,1,1,2
C1(C(CC(CO)(C1O)O)O)=O,,,3,1,3,13,16
413_1,,,,2,1,1,2
415_0,,,,2,1,1,2
C1(C(C(C(CO)(C1)O)O)O)=O,,,3,1,9,16,25
417_0,,,,2,1,1,2
C1(C(C(C(C)(C1O)O)O)O)=O,,,3,1,6,15,21
417_1,,,,2,1,1,2
419_0,,,,2,1,1,2
C1(C(C(CC(C1O)O)O)O)=O,,,3,1,4,8,12
419_1,,,,2,1,1,2
421_0,,,,2,1,1,2
C1(C(CO)C(C(C1)=O)O)=O,,,3,1,6,26,32
421_1,,,,2,1,1,2
423_0,,,,2,1,1,2
C1(CCC(C(C1O)O)=O)=O,,,3,1,3,15,18
423_1,,,,2,1,1,2
425_0,,,,2,1,1,2
C(C1(CCC(C1O)=O)O)=O,,,3,1,5,22,27
425_1,,,,2,1,1,2
427_0,,,,2,1,1,2
C1(CC(C(CC1O)=O)O)=O,,,3,1,2,14,16
429_0,,,,2,1,1,2
C(C1(CC(C(C1)=O)O)O)=O,,,3,1,3,21,24
431_0,,,,2,1,1,2
C(C1C(CC(C1O)=O)O)=O,,,3,1,7,27,34
431_1,,,,2,1,1,2
433_0,,,,2,1,1,2
C1(C(CC(C1CO)O)=O)=O,,,3,1,4,23,27
433_1,,,,2,1,1,2
435_0,,,,2,1,1,2
C1(CC(C(C(C1)=O)O)O)=O,,,3,1,5,30,35
435_1,,,,2,1,1,2
437_0,,,,2,1,1,2
C1(CC(CC(C1O)=O)O)=O,,,3,1,2,17,19
438_0,,,,2,1,1,2
438_1,,,,2,1,1,2
440_0,,,,2,1,1,2
C(C1C(C(CC1O)O)=O)=O,,,3,1,5,20,25
440_1,,,,2,1,1,2
441_0,,,,2,1,1,2
443_0,,,,2,1,1,2
C(C1C(C(C(C1)=O)O)O)=O,,,3,1,4,28,32
445_0,,,,2,1,1,2
C1(C(CC(C(C1)O)O)=O)=O,,,3,1,2,13,15
447_0,,,,2,1,1,2
C(C1C(CC(C1O)O)=O)=O,,,3,1,5,25,30
447_1,,,,2,1,1,2
449_0,,,,2,1,1,2
C1(C(CO)C(C(C1O)=O)O)=O,,,3,1,2,16,18
449_1,,,,2,1,1,2
451_0,,,,2,1,1,2
C1(C(C(C(CC1O)=O)O)O)=O,,,3,1,5,19,24
451_1,,,,2,1,1,2
453_0,,,,2,1,1,2
C(C1(C(CC(C1O)=O)O)O)=O,,,3,1,7,20,27
453_1,,,,2,1,1,2
454_0,,,,2,1,1,2
456_0,,,,2,1,1,2
C(C1(C(C(C(C1)=O)O)O)O)=O,,,3,1,2,19,21
458_0,,,,2,1,1,2
C(C1C(C(C(C1O)=O)O)O)=O,,,3,1,5,21,26
458_1,,,,2,1,1,2
460_0,,,,2,1,1,2
C1C(C(C(C(C=1)=O)O)O)O,,,3,1,4,21,25
460_1,,,,2,1,1,2
462_0,,,,2,2,1,3
C1(C(C(C(C(C1CO)O)O)O)O)=O,,,3,1,6,16,22
462_1,,,,2,2,1,3
464_0,,,,2,2,1,3
C(CO)(C(C(CO)(CO)O)O)=O,,,3,1,4,7,11
464_1,,,,2,2,1,3
465_0,,,,2,2,1,3
465_1,,,,2,2,1,3
466_0,,,,2,2,1,3
466_1,,,,2,2,1,3
468_0,,,,2,2,1,3
C(C(C)(C(C(CO)=O)O)O)=O,,,3,1,11,17,28
468_1,,,,2,2,1,3
470_0,,,,2,2,1,3
C(C(CC(CO)(CO)O)=O)=O,,,3,1,4,14,18
472_0,,,,2,2,1,3
C(CO)(CC(C(C(CO)=O)O)O)=O,,,3,1,7,16,23
472_1,,,,2,2,1,3
474_0,,,,2,2,1,3
C(CC(CO)(C(C(CO)=O)O)O)=O,,,3,1,5,15,20
474_1,,,,2,2,1,3
476_0,,,,2,2,1,3
C(C(C(CO)=O)C(CO)(CO)O)=O,,,3,1,4,9,13
476_1,,,,2,2,1,3
478_0,,,,2,2,1,3
C(CC(C(C(CO)(CO)O)O)=O)=O,,,3,1,6,10,16
478_1,,,,2,2,1,3
480_0,,,,2,2,1,3
C(C)(C(C(C(C(CO)=O)O)O)O)=O,,,3,1,7,17,24
480_1,,,,2,2,1,3
