Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
C1(C2(CC(C(C2)=O)(O)O1)O)=O,,,4,1,3,6,9
353_0,,,,2,2,1,3
353_1,,,,2,2,1,3
355_0,,,,2,2,1,3
C(CC(CC(CC(C)O)O)O)=O,,,4,1,1,11,12
357_0,,,,2,2,1,3
C(C(C(CC(C)O)O)C(C=O)O)=O,,,4,1,4,15,19
357_1,,,,2,2,1,3
358_0,,,,2,2,1,3
358_1,,,,2,2,1,3
359_0,,,,2,2,1,3
359_1,,,,2,2,1,3
361_0,,,,2,2,1,3
C(C(CO)C(CC(C)O)O)=O,,,4,1,6,14,20
361_1,,,,2,2,1,3
363_0,,,,2,2,1,3
C(C(CO)C(C(CO)C(C)O)O)=O,,,4,1,4,13,17
363_1,,,,2,2,1,3
365_0,,,,2,2,1,3
C(C(C=C)C(C(CO)C(C)O)O)=O,,,4,1,1,9,10
367_0,,,,2,2,1,3
C(CC(C(CO)C(C)O)O)=O,,,4,1,3,13,16
369_0,,,,2,2,1,3
C(CC(C(C(C)O)C(C)O)O)=O,,,4,1,1,9,10
371_0,,,,2,2,1,3
C(C(C(CC=O)O)C(C)O)(O)=O,,,4,1,2,12,14
373_0,,,,2,2,1,3
C(CC(CC(CC=O)O)O)(O)=O,,,4,1,1,11,12
375_0,,,,2,2,1,3
C(CC(C(C=O)C(C=O)O)O)(O)=O,,,4,1,4,15,19
375_1,,,,2,2,1,3
376_0,,,,2,2,1,3
376_1,,,,2,2,1,3
377_0,,,,2,2,1,3
377_1,,,,2,2,1,3
379_0,,,,2,2,1,3
C(C(CO)C(CC(O)=O)O)=O,,,4,1,5,14,19
379_1,,,,2,2,1,3
381_0,,,,2,2,1,3
C(C(CO)C(C(C=O)CO)O)(O)=O,,,4,1,5,14,19
381_1,,,,2,2,1,3
383_0,,,,2,2,1,3
C(C(C=C)C(C(C(O)=O)CO)O)=O,,,4,1,2,9,11
385_0,,,,2,2,1,3
C(C(CO)C(CC=O)O)(O)=O,,,4,1,4,14,18
387_0,,,,2,2,1,3
C(C(C(O)=O)C(CC=O)O)(O)=O,,,4,1,2,9,11
389_0,,,,2,2,1,3
C(CC(CC(C(CO)=O)O)O)=O,,,4,1,1,16,17
391_0,,,,2,2,1,3
C(CC(C(CO)(CC=O)O)O)=O,,,4,1,2,20,22
393_0,,,,2,2,1,3
C(C(C(C=O)C(C(CO)=O)O)O)=O,,,4,1,4,19,23
393_1,,,,2,2,1,3
394_0,,,,2,2,1,3
394_1,,,,2,2,1,3
395_0,,,,2,2,1,3
395_1,,,,2,2,1,3
397_0,,,,2,2,1,3
C(C(CO)C(C(CO)=O)O)=O,,,4,1,8,19,27
397_1,,,,2,2,1,3
399_0,,,,2,2,1,3
C(C(C(C(C(CC=O)O)=O)O)O)=O,,,4,1,3,23,26
399_1,,,,2,2,1,3
401_0,,,,2,2,1,3
C(CC(C(C(C(C)O)O)=O)O)=O,,,4,1,3,16,19
401_1,,,,2,2,1,3
403_0,,,,2,2,1,3
C(C(C(C(CC=O)O)=O)O)(O)=O,,,4,1,3,15,18
403_1,,,,2,2,1,3
405_0,,,,2,2,1,3
C(CC(C(C(CO)O)=O)O)=O,,,4,1,5,20,25
405_1,,,,2,2,1,3
407_0,,,,2,2,1,3
C(C(CO)(CC(CC=O)O)O)=O,,,4,1,1,17,18
408_0,,,,2,2,1,3
410_0,,,,2,2,1,3
C(C(C(C=O)C(C=O)(CO)O)O)=O,,,4,1,4,17,21
410_1,,,,2,2,1,3
411_0,,,,2,2,1,3
411_1,,,,2,2,1,3
412_0,,,,2,2,1,3
412_1,,,,2,2,1,3
414_0,,,,2,2,1,3
C(C(CO)C(C=O)(CO)O)=O,,,4,1,5,17,22
414_1,,,,2,2,1,3
416_0,,,,2,2,1,3
C(C(CO)C(C(C(CO)O)=O)O)=O,,,4,1,6,18,24
416_1,,,,2,2,1,3
418_0,,,,2,2,1,3
C(C(C=C)C(C(C(CO)O)=O)O)=O,,,4,1,3,13,16
419_0,,,,2,2,1,3
421_0,,,,2,2,1,3
C(C(CO)C(C=O)(C(CO)O)O)=O,,,4,1,5,17,22
421_1,,,,2,2,1,3
423_0,,,,2,2,1,3
C(C(C=C)C(C=O)(C(CO)O)O)=O,,,4,1,2,12,14
425_0,,,,2,2,1,3
C(C(C(CO)O)(CC=O)O)=O,,,4,1,4,17,21
426_0,,,,2,2,1,3
428_0,,,,2,2,1,3
C(C(C(C(C)O)O)(CC=O)O)=O,,,4,1,2,16,18
429_0,,,,2,2,1,3
431_0,,,,2,2,1,3
C(C(C(C=O)(CC=O)O)O)(O)=O,,,4,1,4,15,19
