Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
C(CC(CC(C=O)=O)O)=O,,,2,1,3,71,74
317_0,,,,2,1,2,3
C(CC(C(CCO)=O)=O)=O,,,2,1,4,68,72
319_0,,,,2,1,2,3
C(CC(CC(CO)=O)=O)=O,,,2,1,6,75,81
321_0,,,,2,1,2,3
C(CC(C(C(C)=O)O)=O)=O,,,2,1,2,78,80
323_0,,,,2,1,2,3
C(CC(C(CC=O)O)=O)=O,,,2,1,5,84,89
325_0,,,,2,1,2,3
C(C(C=O)O)(CC(C)=O)=O,,,2,1,3,78,81
327_0,,,,2,1,2,3
C(C(C(CCC=O)=O)O)=O,,,2,1,4,78,82
329_0,,,,2,1,2,3
C(C(CC(C(C)=O)=O)O)=O,,,2,1,4,70,74
331_0,,,,2,1,2,3
C(CC(CC(C=O)O)=O)=O,,,2,1,6,79,85
332_0,,,,2,1,2,3
333_0,,,,2,1,2,3
334_0,,,,2,1,2,3
335_0,,,,2,1,2,3
336_0,,,,2,1,2,3
337_0,,,,2,1,2,3
338_0,,,,2,1,2,3
339_0,,,,2,1,2,3
340_0,,,,2,1,2,3
341_0,,,,2,1,2,3
342_0,,,,2,1,2,3
343_0,,,,2,1,2,3
345_0,,,,2,1,2,3
C1(CC(C(C(CO)O)O1)O)=O,,,2,1,3,12,15
347_0,,,,2,1,2,3
C1(COC(C(CO)O)C1O)=O,,,2,1,1,25,26
349_0,,,,2,1,2,3
C1(C(O)OC(C(CO)O)C1)=O,,,2,1,2,24,26
351_0,,,,2,1,2,3
C1(C(C(CO)O)OC(C1)O)=O,,,2,1,2,29,31
353_0,,,,2,1,2,3
C(C)(C1C(C(C(O1)O)O)O)=O,,,2,1,2,26,28
355_0,,,,2,1,2,3
C(CC1C(C(C(O)O1)O)O)=O,,,2,1,2,25,27
357_0,,,,2,1,2,3
C1(CC(C(C(CO)O1)O)O)=O,,,2,1,2,13,15
359_0,,,,2,1,2,3
C1(COC(CO)C(C1O)O)=O,,,2,1,1,28,29
361_0,,,,2,1,2,3
C1(C(O)OC(CO)C(C1)O)=O,,,2,1,2,25,27
363_0,,,,2,1,2,3
C1(C(C(CO)OC(C1)O)O)=O,,,2,1,2,28,30
365_0,,,,2,1,2,3
C1(C(C(O)OC(CO)C1)O)=O,,,2,1,2,30,32
367_0,,,,2,1,2,3
C1(C(CO)OC(C(C1)O)O)=O,,,2,1,2,28,30
369_0,,,,2,1,2,3
C1(CC(C(C(CO1)O)O)O)=O,,,2,1,1,16,17
371_0,,,,2,1,2,3
C1(COCC(C(C1O)O)O)=O,,,2,1,1,30,31
373_0,,,,2,1,2,3
C1(C(O)OCC(C(C1)O)O)=O,,,2,1,2,27,29
375_0,,,,2,1,2,3
C1(C(C(COC(C1)O)O)O)=O,,,2,1,2,33,35
377_0,,,,2,1,2,3
C1(C(C(O)OCC(C1)O)O)=O,,,2,1,2,33,35
379_0,,,,2,1,2,3
C1(C(COC(C(C1)O)O)O)=O,,,2,1,2,30,32
381_0,,,,2,1,2,3
C1(C(C(C(O)OCC1)O)O)=O,,,2,1,2,32,34
383_0,,,,2,1,2,3
C1(COC(C(C(C1)O)O)O)=O,,,2,1,2,27,29
384_0,,,,2,1,2,3
386_0,,,,2,1,2,3
C(C(C(CO)O)O)(CCN)=O,,,2,1,14,37,51
388_0,,,,2,1,2,3
C(C(CN)O)(CC(CO)O)=O,,,2,1,14,36,50
390_0,,,,2,1,2,3
C(C(CO)O)(CC(CN)O)=O,,,2,1,13,41,54
392_0,,,,2,1,2,3
C(C(C(CN)O)O)(CCO)=O,,,2,1,13,40,53
394_0,,,,2,1,2,3
C(CO)(CC(C(CN)O)O)=O,,,2,1,13,34,47
396_0,,,,2,1,2,3
C(C)(C(C(C(CN)O)O)O)=O,,,2,1,13,38,51
398_0,,,,2,1,2,3
C(CC(C(C(CN)O)O)O)=O,,,2,1,13,33,46
400_0,,,,2,1,2,3
C(C(CO)O)=CC(C=O)=O,,,2,1,4,43,47
402_0,,,,2,1,2,3
C(C(C(C=CCO)=O)O)=O,,,2,1,4,61,65
404_0,,,,2,1,2,3
C(C=CC(C(CO)O)=O)=O,,,2,1,4,72,76
406_0,,,,2,1,2,3
C(C(C(C(C=C)=O)O)O)=O,,,2,1,4,82,86
408_0,,,,2,1,2,3
C(C(C=CC(CO)=O)O)=O,,,2,1,4,62,66
410_0,,,,2,1,2,3
C(C(C(C=CC=O)O)O)=O,,,2,1,4,64,68
412_0,,,,2,1,2,3
C(C(C(C(CO)O)O)O)=CN,,,2,1,2,12,14
412_1,,,,2,1,2,3
413_0,,,,2,2,1,3
414_0,,,,2,2,1,3
415_0,,,,2,2,1,3
416_0,,,,2,2,1,3
417_0,,,,2,2,1,3
418_0,,,,2,2,1,3
419_0,,,,2,2,1,3
420_0,,,,2,2,1,3
421_0,,,,2,2,1,3
423_0,,,,2,1,2,3
N,,,2,1,37,511,548
425_0,,,,2,2,2,4
C(C(C(CO)NC)O)=O,,,2,1,3,45,48
427_0,,,,2,2,2,4
C(CO)(C(C(C(CO)O)NC)O)=O,,,2,1,1,28,29
429_0,,,,2,2,2,4
C(C(CC(C(CO)O)NC)=O)=O,,,2,1,3,39,42
431_0,,,,2,2,2,4
C(CC(C(C(CO)NC)O)=O)=O,,,2,1,1,43,44
433_0,,,,2,2,2,4
C(C(C(CC(CO)NC)=O)O)=O,,,2,1,3,45,48
435_0,,,,2,2,2,4
C(CC(C=O)NC)(C(CO)O)=O,,,2,1,5,46,51
437_0,,,,2,2,2,4
C(CC(C=O)O)(C(CNC)O)=O,,,2,1,1,48,49
439_0,,,,2,2,2,4
C(C(C(C(CCO)=O)O)NC)=O,,,2,1,5,48,53
441_0,,,,2,2,2,4
C(C(C(C=O)O)O)(CCNC)=O,,,2,1,3,53,56
443_0,,,,2,2,2,4
C(C(C(CC(CO)=O)NC)O)=O,,,2,1,4,43,47
445_0,,,,2,2,2,4
C(C(C(C(C(C)=O)O)NC)O)=O,,,2,1,2,45,47
447_0,,,,2,2,2,4
C(CC(C(C(C=O)O)NC)O)=O,,,2,1,2,49,51
449_0,,,,2,2,2,4
C(CC(C(C(C=O)O)O)NC)=O,,,2,1,3,51,54
451_0,,,,2,2,2,4
C(C(C(CO)NCC(O)=O)O)=O,,,2,1,2,38,40
453_0,,,,2,2,2,4
C(C(C(C(C(CO)O)O)NC)O)=O,,,2,1,6,29,35
455_0,,,,2,1,1,2
C1C(C(C(O)O1)O)O,,,2,1,1,5,6
457_0,,,,2,1,1,2
C(C1(C(C(C(CO)O1)O)O)O)O,,,2,1,1,5,6
458_0,,,,2,1,1,2
460_0,,,,2,1,1,2
C(C1(CC(C(CO)O1)O)O)=O,,,2,1,1,19,20
461_0,,,,2,1,1,2
463_0,,,,2,1,1,2
C(CC1(C(C(CO1)O)O)O)=O,,,2,1,1,25,26
465_0,,,,2,1,1,2
C(C(C1(CC(CO1)O)O)O)=O,,,2,1,1,26,27
467_0,,,,2,1,1,2
C(C1C(CC(CO)(O1)O)O)=O,,,2,1,1,25,26
469_0,,,,2,1,1,2
C(C1C(C(C(C)(O1)O)O)O)=O,,,2,1,1,26,27
470_0,,,,2,1,1,2
472_0,,,,2,1,1,2
C(C(C1C(CC(O)O1)O)O)=O,,,2,1,1,24,25
473_0,,,,2,1,1,2
475_0,,,,2,1,1,2
C1C(C(C(C(CO)(O)O1)O)O)O,,,2,1,1,7,8
476_0,,,,2,1,1,2
478_0,,,,2,1,1,2
C(C1(CC(C(CO1)O)O)O)=O,,,2,1,1,21,22
479_0,,,,2,1,1,2
480_0,,,,2,1,1,2
481_0,,,,2,1,1,2
483_0,,,,2,1,1,2
C(C1C(C(CC(O1)O)O)O)=O,,,2,1,1,26,27
484_0,,,,2,1,1,2
485_0,,,,2,1,1,2
486_0,,,,2,1,1,2
487_0,,,,2,1,1,2
488_0,,,,2,1,1,2
489_0,,,,2,1,1,2
490_0,,,,2,1,1,2
491_0,,,,2,1,1,2
492_0,,,,2,1,1,2
493_0,,,,2,2,2,4
494_0,,,,2,2,2,4
495_0,,,,2,2,2,4
495_1,,,,2,2,2,4
497_0,,,,2,2,2,4
C(CN)O,,,2,1,13,91,104
499_0,,,,2,2,2,4
C(C(C(CN)O)O)O,,,2,1,12,16,28
501_0,,,,2,2,2,4
C(C(C(C(C(CO)N)O)O)O)O,,,2,1,12,14,26
502_0,,,,2,2,2,4
503_0,,,,2,2,2,4
504_0,,,,2,2,2,4
506_0,,,,2,2,2,4
C(CC(C(C(CO)O)O)N)=O,,,2,1,13,32,45
507_0,,,,2,2,2,4
509_0,,,,2,2,2,4
C(C(C(CC(CO)O)N)O)=O,,,2,1,12,31,43
510_0,,,,2,2,2,4
512_0,,,,2,2,2,4
C(C(CC(C(CO)O)N)O)=O,,,2,1,12,31,43
513_0,,,,2,2,2,4
515_0,,,,2,2,2,4
C(C(C(C(CCO)N)O)O)=O,,,2,1,12,35,47
516_0,,,,2,2,2,4
518_0,,,,2,2,2,4
C(C(C(CC(CO)N)O)O)=O,,,2,1,12,35,47
519_0,,,,2,2,2,4
521_0,,,,2,2,2,4
C(C(C(C(C(C)N)O)O)O)=O,,,2,1,12,36,48
522_0,,,,2,2,2,4
524_0,,,,2,2,2,4
C(C(C(C(CCN)O)O)O)=O,,,2,1,12,34,46
525_0,,,,2,2,2,4
526_0,,,,2,1,2,3
528_0,,,,2,1,2,3
C1(C(C(C(C(CO)O)O1)O)O)=O,,,2,1,3,10,13
530_0,,,,2,1,2,3
C1(C(C(C(C(CO)O1)O)O)O)=O,,,2,1,2,11,13
532_0,,,,2,1,2,3
C1(C(C(C(C(CO1)O)O)O)O)=O,,,2,1,1,14,15
533_0,,,,2,2,3,5
534_0,,,,2,2,3,5
535_0,,,,2,2,3,5
536_0,,,,2,2,3,5
537_0,,,,2,2,3,5
538_0,,,,2,2,3,5
539_0,,,,2,2,3,5
540_0,,,,2,2,3,5
541_0,,,,2,2,3,5
542_0,,,,2,2,3,5
543_0,,,,2,2,3,5
544_0,,,,2,2,3,5
545_0,,,,2,2,3,5
546_0,,,,2,2,3,5
547_0,,,,2,2,3,5
548_0,,,,2,2,3,5
549_0,,,,2,2,3,5
550_0,,,,2,2,3,5
552_0,,,,2,1,1,2
C1(C(C(C(C(C1CO)O)O)O)O)=O,,,3,1,6,0,6
552_1,,,,2,1,1,2
553_0,,,,2,1,1,2
553_1,,,,2,1,1,2
555_0,,,,2,1,1,2
C1(C(C(C(C1)O)O)O)=O,,,3,1,8,0,8
555_1,,,,2,1,1,2
556_0,,,,2,1,1,2
558_0,,,,2,1,1,2
C1(C(C(C(CC1O)O)O)O)=O,,,3,1,3,0,3
558_1,,,,2,1,1,2
560_0,,,,2,1,1,2
C1(C(C(C(C1)O)(CO)O)O)=O,,,3,1,2,0,2
560_1,,,,2,1,1,2
562_0,,,,2,1,1,2
C1(C(CC(CO)(C1O)O)O)=O,,,3,1,2,0,2
562_1,,,,2,1,1,2
564_0,,,,2,1,1,2
C1(C(C(C(CO)(C1)O)O)O)=O,,,3,1,1,0,1
566_0,,,,2,1,1,2
C1(C(C(C(C)(C1O)O)O)O)=O,,,3,1,2,0,2
566_1,,,,2,1,1,2
568_0,,,,2,1,1,2
C1(C(C(CC(C1O)O)O)O)=O,,,3,1,2,0,2
568_1,,,,2,1,1,2
570_0,,,,2,1,1,2
C1(C(C(C(CC1NC)O)O)O)=O,,,3,1,3,0,3
570_1,,,,2,1,1,2
572_0,,,,2,1,1,2
C1(C(C(C(C1)O)(CNC)O)O)=O,,,3,1,2,0,2
572_1,,,,2,1,1,2
574_0,,,,2,1,1,2
C1(C(CC(CO)(C1NC)O)O)=O,,,3,1,2,0,2
574_1,,,,2,1,1,2
576_0,,,,2,1,1,2
