Id,Label,timeset,gen,type,weighted indegree,weighted outdegree,Weighted Degree
224_0,,,,2,2,1,3
C(CC(C=O)=O)(O)=O,,,3,1,65,85,150
226_0,,,,2,2,1,3
C(C(C)(CC(C=O)=O)O)(O)=O,,,3,1,13,15,28
228_0,,,,2,2,1,3
C=C(C(O)=O)C(C(C(O)=O)=O)CO,,,3,1,4,9,13
230_0,,,,2,2,1,3
C(C1(C)C(C(C(O1)=O)=O)CO)(O)=O,,,3,1,6,6,12
230_1,,,,2,2,1,3
232_0,,,,2,2,1,3
C1(C(C)(C(C(C(O1)=O)=O)CO)O)=O,,,3,1,9,10,19
232_1,,,,2,2,1,3
234_0,,,,2,2,1,3
C(C(C(CO)O)=O)(O)=O,,,3,1,25,26,51
234_1,,,,2,2,1,3
236_0,,,,2,2,1,3
C(CCO)=O,,,3,1,224,722,946
238_0,,,,2,2,1,3
C(C(CCO)=O)(O)=O,,,3,1,51,69,120
240_0,,,,2,2,1,3
C(C(CO)(CC=O)O)(O)=O,,,3,1,17,17,34
242_0,,,,2,2,1,3
C(C(CO)(CC(C(O)=O)=O)O)(O)=O,,,3,1,10,13,23
244_0,,,,2,2,1,3
C(C(C(C(C)O)O)=O)(O)=O,,,3,1,16,17,33
244_1,,,,2,2,1,3
246_0,,,,2,2,1,3
C(C(C(C(O)=O)=O)O)(O)=O,,,3,1,17,15,32
246_1,,,,2,2,1,3
248_0,,,,2,2,1,3
C(C(C)(C(C(C(O)=O)=O)O)O)(O)=O,,,3,1,11,13,24
248_1,,,,2,2,1,3
249_0,,,,2,2,1,3
250_0,,,,2,2,1,3
250_1,,,,2,2,1,3
251_0,,,,2,2,1,3
251_1,,,,2,2,1,3
253_0,,,,2,1,2,3
C(CC(C(C)=O)=O)=O,,,3,1,91,131,222
255_0,,,,2,1,2,3
C(C(CO)=O)(C(C)O)=O,,,3,1,29,33,62
257_0,,,,2,1,2,3
C(C(C(CO)=O)=O)(O)=O,,,3,1,19,26,45
259_0,,,,2,1,2,3
C(C(C(C(C)=O)=O)(CO)O)(O)=O,,,3,1,11,11,22
261_0,,,,2,1,2,3
C(C(C(C(CO)=O)=O)(C)O)(O)=O,,,3,1,7,9,16
263_0,,,,2,1,2,3
C(C(C)=O)(C(C)O)=O,,,3,1,78,89,167
265_0,,,,2,1,2,3
C(C(C(C)=O)=O)(O)=O,,,3,1,46,63,109
267_0,,,,2,1,2,3
C(C(C(C(C)=O)=O)(C)O)(O)=O,,,3,1,8,8,16
269_0,,,,2,1,2,3
C(C=O)=O,,,3,1,266,482,748
270_0,,,,2,1,2,3
272_0,,,,2,1,2,3
C(C(C(C(C(C)=O)=O)O)O)(O)=O,,,3,1,14,14,28
273_0,,,,2,1,2,3
275_0,,,,2,1,2,3
[C](C(O)=O)(CC(C(C)=O)=O)O,,,3,1,12,11,23
276_0,,,,2,1,2,3
278_0,,,,2,1,2,3
C(C(CC(C(C)=O)=O)O)(O)=O,,,3,1,15,14,29
279_0,,,,2,1,2,3
280_0,,,,2,1,2,3
281_0,,,,2,1,2,3
281_1,,,,2,1,2,3
282_0,,,,2,1,2,3
283_0,,,,2,1,2,3
283_1,,,,2,1,2,3
284_0,,,,2,1,2,3
286_0,,,,2,1,1,2
C(C(C)=O)(OC(C(C)=O)=O)=O,,,3,1,4,3,7
288_0,,,,2,1,1,2
C(C(C=O)O)=O,,,3,1,123,302,425
290_0,,,,2,1,1,2
C(C(C=O)O)(O)=O,,,3,1,105,131,236
293_0,,,,2,3,2,5
C(O)=O,,,3,1,1682,0,1682
CC(CCO)O,,,3,1,16,79,95
295_0,,,,2,3,2,5
C(CCO)(O)=O,,,3,1,44,129,173
297_0,,,,2,3,2,5
C(C(C)(CCO)O)(O)=O,,,3,1,6,8,14
299_0,,,,2,3,2,5
C(CO)(CO)=O,,,3,1,109,299,408
301_0,,,,2,3,2,5
C(C)(CO)=O,,,3,1,292,911,1203
303_0,,,,2,3,2,5
CO,,,3,1,1040,220,1260
303_1,,,,2,3,2,5
305_0,,,,2,3,2,5
CCO,,,3,1,34,291,325
307_0,,,,2,3,2,5
C(CC(C)O)(O)=O,,,3,1,40,57,97
309_0,,,,2,3,2,5
C(CC(O)=O)(O)=O,,,3,1,32,44,76
311_0,,,,2,3,2,5
C(C(C)(CC(O)=O)O)(O)=O,,,3,1,8,7,15
312_0,,,,2,3,2,5
313_0,,,,2,3,2,5
315_0,,,,2,3,2,5
C(C)(O)=O,,,3,1,51,59,110
317_0,,,,2,2,1,3
C(C(CO)(C(CC(C)O)O)O)(O)=O,,,3,1,12,11,23
317_1,,,,2,2,1,3
319_0,,,,2,2,1,3
C(C(CO)(C(CC(O)=O)O)O)(O)=O,,,3,1,10,11,21
319_1,,,,2,2,1,3
321_0,,,,2,2,1,3
C(C(CO)(C(C(CO)=O)O)O)(O)=O,,,3,1,16,14,30
321_1,,,,2,2,1,3
323_0,,,,2,2,1,3
C(C(CO)(C(C=O)(CO)O)O)(O)=O,,,3,1,16,17,33
323_1,,,,2,2,1,3
325_0,,,,2,2,1,3
C(C(CO)(C(C=O)(C)O)O)(O)=O,,,3,1,12,13,25
325_1,,,,2,2,1,3
327_0,,,,2,2,1,3
C(C(CO)(C(C(C)=O)O)O)(O)=O,,,3,1,15,13,28
327_1,,,,2,2,1,3
329_0,,,,2,2,1,3
