,Gen,ID,nC,nH,nO,MW,nAcid,nBase,nHBAcc,nHBDon
1007,3,C(CC(C(C(CO)O)=O)O)(O)=O,6,10,6,178.04773804,1,0,5,4
1008,3,C(C(C(CC(CO)O)O)=O)(O)=O,6,10,6,178.04773804,1,0,5,4
1009,3,C(C(CC(C(CO)=O)O)O)(O)=O,6,10,6,178.04773804,1,0,5,4
1010,3,C(C(C(C(CCO)O)=O)O)(O)=O,6,10,6,178.04773804,1,0,5,4
1011,3,C(C(C(CC(C=O)O)O)O)(O)=O,6,10,6,178.04773804,1,0,5,4
1012,3,C(C(C(C(O)=O)O)O)(C(C)O)=O,6,10,6,178.04773804,1,0,5,4
1013,3,C(CC(C(C(CO)=O)O)O)(O)=O,6,10,6,178.04773804,1,0,5,4
1014,3,C(C(C(C(C(CO)O)O)=O)O)(O)=O,6,10,7,194.04265266000002,1,0,6,5
1015,3,C(C(CO)(CO)O)(CC(CO)=O)=O,7,12,6,192.063388104,0,0,6,4
1016,3,C(C(C(C(CCO)O)=O)(CO)O)=O,7,12,6,192.063388104,0,0,6,4
1017,3,C(CCO)(C(C(CO)=O)(CO)O)=O,7,12,6,192.063388104,0,0,6,4
1018,3,C(C(CO)(C(CC(C=O)O)O)O)=O,7,12,6,192.063388104,0,0,6,4
1019,3,C(C(CO)(C(C(C(C)O)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
1020,3,C(C)(C(CO)(C(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
1021,3,C(C(CO)(CC(C(CO)=O)O)O)=O,7,12,6,192.063388104,0,0,6,4
1022,3,C(C(CO)NC)(CC(CO)=O)=O,7,13,4,175.084457896,0,1,5,3
1023,3,C(CCO)(C(C(CO)=O)NC)=O,7,13,4,175.084457896,0,1,5,3
1024,3,C(C(C(C(CO)=O)O)NC)(C)=O,7,13,4,175.084457896,0,1,5,3
1025,3,C(C(C(CO)O)O)(C(CN)O)=O,6,13,5,179.079372516,0,1,6,5
1026,3,C(C(CCC(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
1027,3,C(C(C)O)(CC(C=O)=O)=O,6,8,4,144.042258736,0,0,4,1
1028,3,C(CC(C(C(C)=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
1029,3,C(CC(C(C(C)O)=O)=O)=O,6,8,4,144.042258736,0,0,4,1
1030,3,C(C)(CC(C(CO)=O)=O)=O,6,8,4,144.042258736,0,0,4,1
1031,3,C(C)(CC(C(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
1032,3,C(CCC(C(CO)=O)=O)=O,6,8,4,144.042258736,0,0,4,1
1033,3,C(CCC(C(C=O)=O)O)=O,6,8,4,144.042258736,0,0,4,1
1034,3,C(CO)(CC(C(C)=O)=O)=O,6,8,4,144.042258736,0,0,4,1
1035,3,C1(C(C(CO)O)OCC1O)=O,6,10,5,162.05282342,0,0,5,3
1036,3,C1(C(C(CO)OCC1O)O)=O,6,10,5,162.05282342,0,0,5,3
1037,3,C1(C(CO)OC(CC1O)O)=O,6,10,5,162.05282342,0,0,5,3
1038,3,C1(C(O)OC(CO)CC1O)=O,6,10,5,162.05282342,0,0,5,3
1039,3,C1(C(C(COCC1O)O)O)=O,6,10,5,162.05282342,0,0,5,3
1040,3,C1(C(CC(O)OCC1O)O)=O,6,10,5,162.05282342,0,0,5,3
